Month,Day,Text
Jan,1,"['1', 'Do', 'Neujahr']"
Jan,2,"['2', 'Fr', 'D', '3/4', '3/4', '2', '1']"
Jan,3,"['3', 'Sa', 'E', '3/4', '3/4', '2', '1']"
Jan,4,"['4', 'Sonntag']"
Jan,5,"['5', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Jan,6,"['6', 'Di', 'HI.', 'Drei', 'Könige']"
Jan,7,"['7', 'Mi', 'B', '1/2', '1/2', '3', '4']"
Jan,8,"['8', 'Do', 'C', '1/2', '1/2', '3', '4']"
Jan,9,"['9', 'Fr', 'D', '1/2', '1/2', '3', '4']"
Jan,10,"['10', 'Sa', 'E', '1/2', '1/2', '3', '4']"
Jan,11,"['11', 'Sonntag']"
Jan,12,"['12', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jan,13,"['13', 'Di', 'B', '3/4', '3/4', '1', '2']"
Jan,14,"['14', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Jan,15,"['15', 'Do', 'D', '3/4', '3/4', '1', '2']"
Jan,16,"['16', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Jan,17,"['17', 'Sa']"
Jan,18,"['18', 'Sonntag']"
Jan,19,"['19', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Jan,20,"['20', 'Di', 'B', '1/2', '1/2', '4', '3']"
Jan,21,"['21', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Jan,22,"['22', 'Do', 'D', '1/2', '1/2', '4', '3']"
Jan,23,"['23', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Jan,24,"['24', 'Sa']"
Jan,25,"['25', 'Sonntag']"
Jan,26,"['26', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Jan,27,"['27', 'Di', 'B', '3/4', '3/4', '2', '1']"
Jan,28,"['28', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Jan,29,"['29', 'Do', 'D', '3/4', '3/4', '2', '1']"
Jan,30,"['30', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Jan,31,"['31', 'Sa']"
Feb,1,"['1', 'Sonntag']"
Feb,2,"['2', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Feb,3,"['3', 'Di', 'B', '1/2', '1/2', '3', '4']"
Feb,4,"['4', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Feb,5,"['5', 'Do', 'D', '1/2', '1/2', '3', '4']"
Feb,6,"['6', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Feb,7,"['7', 'Sa']"
Feb,8,"['8', 'Sonntag']"
Feb,9,"['9', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Feb,10,"['10', 'Di', 'B', '3/4', '3/4', '1', '2']"
Feb,11,"['11', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Feb,12,"['12', 'Do', 'D', '3/4', '3/4', '1', '2']"
Feb,13,"['13', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Feb,14,"['14', 'Sa']"
Feb,15,"['15', 'Sonntag']"
Feb,16,"['16', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Feb,17,"['17', 'Di', 'B', '1/2', '1/2', '4', '3']"
Feb,18,"['18', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Feb,19,"['19', 'Do', 'D', '1/2', '1/2', '4', '3']"
Feb,20,"['20', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Feb,21,"['21', 'Sa']"
Feb,22,"['22', 'Sonntag']"
Feb,23,"['23', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Feb,24,"['24', 'Di', 'B', '3/4', '3/4', '2', '1']"
Feb,25,"['25', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Feb,26,"['26', 'Do', 'D', '3/4', '3/4', '2', '1']"
Feb,27,"['27', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Feb,28,"['28', 'Sa', 'Problemmüllsammlung']"
Feb,29,[]
Feb,30,[]
Feb,31,[]
Mar,1,"['1', 'Sonntag']"
Mar,2,"['2', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Mar,3,"['3', 'Di', 'B', '1/2', '1/2', '3', '4']"
Mar,4,"['4', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Mar,5,"['5', 'Do', 'D', '1/2', '1/2', '3', '4']"
Mar,6,"['6', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Mar,7,"['7', 'Sa']"
Mar,8,"['8', 'Sonntag']"
